name,rating,genre,release_date,actor,overview
Along for the Ride,67.29,"Romance, Drama",2022,Emma Pasarow,"
The summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree teen life she never knew she wanted.
"
Avengement,68.0,"Crime, Action",2019,Scott Adkins,"
While on a prison furlough, a lowly criminal evades his guards and returns to his old stomping ground to take revenge on the people who turned him into a cold blooded killer.
"
Cat People,68.88,"Horror, Drama, Mystery",1942,Simone Simon,"
Serbian fashion designer Irena Dubrovna and American marine engineer Oliver Reed meet in Central Park, fall in love, and marry after a brief courtship; but Irena won't consummate the union for fear that she will turn into a panther compelled to kill her lover, pursuant to a belief harbored by her home village.
"
My Bloody Valentine,55.1,"Mystery, Horror",2009,Jensen Ackles,"
Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.
"
Double Team,51.21000000000001,"Action, Science Fiction",1997,Jean-Claude Van Damme,"
A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world.
"
Employee of the Month,55.67,"Comedy, Romance",2006,Dane Cook,"
When he hears that the new female employee digs ambitious men who are the store employee of the month, a slacker gets his act together but finds himself in competition with his rival, an ambitious co-worker.
"
A Hologram for the King,58.470000000000006,"Comedy, Drama",2016,Tom Hanks,"
Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.
"
The Calling,58.34,Thriller,2014,Susan Sarandon,"
Detective Hazel Micallef hasn't had much to worry about in the sleepy town of Port Dundas until a string of gruesome murders in the surrounding countryside brings her face to face with a serial killer driven by a higher calling.
"
Trial by Fire,68.17999999999999,"Drama, Crime",2019,Jack O'Connell,"
The tragic and controversial story of Cameron Todd Willingham, who was executed in Texas for killing his three children after scientific evidence and expert testimony that bolstered his claims of innocence were suppressed.
"
Big Jake,68.69,Western,1971,John Wayne,"
An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.
"
I Am Sam,75.71,Drama,2001,Sean Penn,"
Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.
"
Starter for 10,64.14,"Drama, Comedy, Romance",2006,James McAvoy,"
In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching University Challenge, a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past.
"
Araro,40.0,,2010,Lorraine Lopez,"
Araro tells the story of the sanctity of marriage of Andoy and Elena. Like Adam and Eve, their vows were tempted by a stranger named Steve, figuratively playing the snake in the paradise. Will their love prevail over temptations? Will morality and sexuality defines their humanity? In the end, the temptations lead them to become better persons and stick to the sanctity of their marriage vow.
"
Borg vs McEnroe,69.41,"Drama, History",2017,Sverrir Gudnason,"
The Swedish Björn Borg and the American John McEnroe, the best tennis players in the world, maintain a legendary duel during the 1980 Wimbledon tournament.
"
The Riot Club,59.23,Drama,2014,Max Irons,"
Two first-year students at Oxford University join a secret society and learn that their reputations can be made or destroyed over the course of one evening.
"
The Bravados,64.57,Western,1958,Gregory Peck,"
Jim Douglass arrives in the small town of Rio Arriba in order to witness the hanging of the four men he believes murdered his wife. When the convicts escape, Jim tracks them into Mexico, determined to see that justice is done. But the farther Jim goes in his quest for vengeance, the more merciless he becomes, losing himself in an unrelenting spiral of hatred and violence.
"
The Monster,54.75,"Horror, Drama",2016,Zoe Kazan,"
A mother and her 10-year old daughter are trapped in a forest. There is something in this forest. Something unlike anything they have heard before. Something that lurks in the darkness and it’s coming after them.
"
Beautiful Sister,50.0,,2019,Do Mo Sae,"
Byung Chul, a graduate of a prestigious university, is a preparatory student. He has a crush on his younger sister, Ji-young, who saved her from childhood youth. Jiyoung is dating celebrity manager Jiwan, who was once a big fan of her, but she doesn't love her. By chance, he dreams of a new love with him again, but Ji-wan starts to hinder their love.
"
Turbo Kid,65.65,"Action, Adventure, Comedy, Science Fiction",2015,Munro Chambers,"
In a post-apocalyptic wasteland, an orphaned teen must battle a ruthless warlord to save the girl of his dreams.
"
Kizumonogatari Part 3: Reiketsu,80.38,"Animation, Fantasy, Mystery",2017,Hiroshi Kamiya,"
With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.
"
Monster High: Great Scarrier Reef,78.03,"Family, Animation",2016,Larissa Gallagher,"
Join your favourite ghoulfriends in an all-new aquatic adventure! When the ghouls get pulled into the school pool, they're transported to the gore-geous underwater world of the Great Scarrier Reef. Lagoon realizes she's come home and, in a fintastic mission of the heart, decides to come to terms with her own freaky flaws. Of course she'll need help from the most creeperific firends ever as she confronts a frenemy from her past, competes in a scaretastic dance extravaganze, and fights a terrible beast from the deep!
"
A Bundle of Trouble: An Aurora Teagarden Mystery,68.28,"Mystery, TV Movie, Drama, Crime",2017,Candace Cameron-Bure,"
Aurora Teagarden and her boyfriend Martin are thrilled when they get an unexpected visit from his niece and her new baby. Their excitement is short lived when his niece disappears and the baby is left behind. Once again, Aurora finds herself drawn into a deadly investigation as she risks it all to help Martin reunite with his family.
"
Fanny and Alexander,78.0,"Fantasy, Drama, Mystery",1982,Pernilla Allwin,"
As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.
"
The Dirt,74.89,"Drama, Music, History, Comedy",2019,Douglas Booth,"
The story of Mötley Crüe and their rise from the Sunset Strip club scene of the early 1980s to superstardom.
"
Sink or Swim,69.18,"Drama, Comedy",2018,Mathieu Amalric,"
40-year-old Bertrand has been suffering from depression for the last two years and is barely able to keep his head above water. Despite the medication he gulps down all day, every day, and his wife's encouragement, he is unable to find any meaning in his life. Curiously, he will end up finding this sense of purpose at the swimming pool, by joining an all-male synchronised swimming team.
"
Purpose of Cohabitation,40.0,Romance,2016,Je Dong-hwa,"
Seung-gu and Yoon-hye enjoy the honeymoon. The photographer, Seung-gu, sells a glance with his senior cousin who is a neighbor cousin on his way to work. Yoon Hye, who has no hesitation in managing her body, goes to the gym for a workout and hears the breakup of Tae Joon, the PT in charge. Tae-jun, who was living in the girlfriend's house, is kicked out with a breakup, and to Tae-jun, where he can't go, Yoon-hye rents out a room for his newlyweds to cover the repair cost of the ride. Offer your own rent. And their purposeful cohabitation begins…
"
Forever Young,64.73,"Adventure, Fantasy, Drama, Science Fiction, Romance",1992,Mel Gibson,"
A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.
"
The Moment You Fall in Love,75.98,"Drama, Animation, Romance, Comedy",2016,Tsubasa Yonaga,"
Following Natsuki Enomoto's confession rehearsals with Yuu Setoguchi, their younger siblings Kotarou and Hina struggle to confess their own love. Despite a disastrous first meeting in middle school with her upperclassman Koyuki Ayase, Hina’s heart is captured by his warm smile. Initially confused by these newfound feelings, Hina soon realizes that she has fallen in love for the very first time.  Chasing after her brother Yuu and her crush Koyuki, Hina also enrolls in Sakuragaoka High School; but the threads of love are far-reaching, and they entangle Hina and her friends. Boisterous but sensitive, Hina hopes to confess her feelings to the tender-hearted Koyuki. Meanwhile, Kotarou, oblivious to his own feelings for her, is determined to always keep Hina smiling.  This movie follows Hina, Kotarou, and Koyuki in high school. Their youthful love forges new relationships, but also threatens to break others.
"
House on Haunted Hill,68.17999999999999,"Horror, Mystery",1959,Vincent Price,"
Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house. But the house is no ordinary house. This house has a reputation for murder. Frederick offers them each a gun for protection. They all arrived in a hearse and will either leave in it $10,000 richer or leave in it dead!
"
Goodnight Mommy,62.0,"Horror, Drama, Thriller",2022,Naomi Watts,"
When twin brothers arrive home to find their mother’s demeanor altered and face covered in surgical bandages, they begin to suspect the woman beneath the gauze might not be their mother.
"
Student Council Staff Members the Movie,63.68000000000001,"Animation,",2017,Shintaro Asanuma,"
Ousai Academy was originally an all-girls high school. Due to the declining birth rates in recent years, it was converted into a co-ed school. The first year male students would find themselves surrounded by girls and unfortunately, Tsuda Takatoshi is one of them. What's worse, he gets scolded on his first day by the student council president Shino Amakusa, which did not give a good first impression of him. Tsuda also meets the other student council members while getting scolded, and in the end, he gets late for class. As an apology for ruining his morning, Shino lets him join the student council for various of ""reasons"" and he accepts it, or rather, he's forced to accept. Thus begins his days as Tsuda soon realizes that he's the only normal student in Ousai Academy...
"
Seven Psychopaths,68.12,"Comedy, Crime",2012,Colin Farrell,"
A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
"
Thirst,70.77,"Drama, Horror, Thriller",2009,Song Kang-ho,"
A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.
"
Garfield Gets Real,49.0,"Family, Animation, Comedy",2007,Frank Welker,"
Animated tale in which Garfield leaves the cartoon world for the real one but as the novelty wears off he begins looking for a way back before his cartoon strip is permanently cancelled.
"
The Grudge 2,55.0,"Horror, Thriller",2006,Amber Tamblyn,"
A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo, a mean high school prank goes horribly wrong, and strange things begin happening in a Chicago apartment building.
"
Dangerous Game: The Legacy Murders,70.0,"Thriller, Horror",2022,Jonathan Rhys Meyers,"
A family reunion at a remote mansion takes a lethal turn when they are trapped inside and forced to play a deadly survival game where only one will make it out alive.
"
Midori,63.43,"Drama, Horror,",1992,Minako Naka,"
After losing her parents, young flower selling Midori is put up by a fairground group. She is abused and forced to slavery, until the arrival of an enigmatic magician of short stature, who gives her hope for a better future.
"
My Sister-in-law's Secret,0.0,Romance,2019,Kim Ji-ah,"
A sister-in-law goes to a motel with her girlfriend. She runs into her brother-in-law, who is cheating on her sister. The sister-in-law's blood boils, but there's nothing she can do about it, because now he knows she's a lesbian. They make a deal to keep each others' secrets, but the sister-in-law ends up having a threesome with her brother-in-law and her girlfriend.
"
Ne Zha,79.29,"Animation, Fantasy, Adventure",2019,Lü Yanting,"
The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.
"
Psycho-Pass: The Movie,71.0,"Animation, Science Fiction, Action",2015,Kana Hanazawa,"
Year 2116—The Japanese government begins to export the Sibyl System unmanned drone robots to troubled countries, and the system spreads throughout the world. A state in the midst of a civil war, SEAUn (the South East Asia Union), brings in the Sibyl System as an experiment. Under the new system, the coastal town of Shambala Float achieves temporary peace and safety. But then SEAUn sends terrorists to Japan. They slip through the Sibyl System and then attack from within. The shadow of a certain man falls on this incident. In charge of the police, Tsunemori travels to Shambala Float to investigate. The truth of justice on this new ground will become clear.
"
The King's Daughter,70.94,"Fantasy, Adventure, Family",2022,Pierce Brosnan,"
King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.
"
Basic,65.13,"Action, Drama, Mystery, Thriller, Crime",2003,John Travolta,"
A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.
"
The Only Living Boy in New York,63.28,Drama,2017,Callum Turner,"
When a young man learns that his overbearing father is having an affair, he tries to stop it, only to be seduced by the older woman as well.
"
Dream,69.93,"Comedy, Drama",2023,Park Seo-jun,"
A top football player Hong-dae gets involved in an assault case and winds up being appointed as the coach for the national football team. This team will compete in the 'Homeless World Cup'. A documentary producer So-min films their story while Hong-dae struggles to coach the homeless because of his misconceptions about them.
"
The Reckoning,66.27,"Horror, Drama",2021,Charlotte Kirk,"
In the aftermath of the Great Plague and amidst the subsequent witch-hunts against women, a young widow grapples with the tragic death of her husband in a society completely consumed by fear and death. Because she rejects the advances of her landlord, she is falsely accused of being a witch and thrown in jail for a crime she didn’t commit. She must endure physical persecution at the hands of England’s most ruthless witch-hunter and face her own inner demons as the devil himself starts to work his way into her mind.
"
The Christmas Cottage,64.0,TV Movie,2017,Merritt Patterson,"
When Lacey takes a rare break from work for her friend Ava's Christmas Eve wedding, she reconnects with her former flame, Ean. The two decorate the cottage where the newlyweds will spend their honeymoon – a cottage said to bring true love to anyone who stays there – and feel their chemistry return.
"
Hotel Rwanda,77.21000000000001,"Drama, History, War",2004,Don Cheadle,"
Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.
"
Wolf Hound,66.0,"War, Action",2022,James Maslow,"
Inspired by the real-life German special operations unit KG 200 that shot down, repaired, and flew Allied aircraft as Trojan horses, ""Wolf Hound"" takes place in 1944 German-occupied France and follows the daring exploits of Jewish-American fighter pilot Captain David Holden. Ambushed behind enemy lines, Holden must rescue a captured B-17 Flying Fortress crew, evade a ruthless enemy stalking him at every turn, and foil a plot that could completely alter the outcome of World War II.
"
Battle Angel,68.03,"Animation, Action, Science",1993,Miki Ito,"
In his travels as a bounty hunter, Hunter–Warrior and cyborg healer Ido one day discovers and repairs the remnants of a cyborg whom he names Gally. Though possessing the body of a young woman, Gally now embodies Ido's most sophisticated and lethal cybernetic skills. The preternaturally strong, amnesiac Gally begins to forge a life for herself in a world where every day is a struggle for survival.
"
Taboo - New Sister,80.0,"Drama, Thriller",2016,Jeong Yoon-I,"
A movie about sexual love in which a woman gets remarried thinking of a new life but she schemes with her boyfriend to rip off her new family.
"
Senna,81.05000000000001,"Documentary, History",2010,Ayrton Senna,"
The remarkable story of Brazilian racing driver Ayrton Senna, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.
"
The Hustler,76.97,"Drama, Romance",1961,Paul Newman,"
Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.
"
The Hitcher,58.53,"Horror, Crime, Thriller",2007,Sean Bean,"
While driving through the New Mexico Desert during a rainy night, the college students Jim Halsey and his girlfriend Grace Andrews give a ride to the hitchhiker John Ryder. While in their car, the stranger proves to be a psychopath threatening the young couple with a knife, but Jim succeeds to throw him out of the car on the road. On the next morning, the young couple sees John in another car.
"
Highlander II: The Quickening,47.2,"Fantasy, Action, Adventure, Thriller",1991,Christophe Lambert,"
In the year 2024, the ozone layer is believed to have been destroyed. It is up to MacLeod and Rameriz to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest.
"
South Park the Streaming Wars,73.02,"Animation,",2022,Trey Parker,"
Cartman locks horns with his mom in a battle of wills while an epic conflict unfolds that threatens South Park’s very existence.
"
Doraemon: Nobita and the Island of Miracles - Animal Adventure,70.0,"Family, Animation, Adventure",2012,Wasabi Mizuta,"
Nobita and Doraemon use time tree Mochi and catches a big bird Moa, which has been extinct for 500 years ago. To protect extinct the animal, Nobita and Doramon go to Beremon Island which is protected by a golden beetle named Herakles. They meet a girl from the Rokkoro tribe and a boy who looks exactly like Nobita on Beremon Island.
"
Virtuosity,54.720000000000006,"Action, Crime, Science Fiction, Thriller",1995,Denzel Washington,"
The Law Enforcement Technology Advancement Centre (LETAC) has developed SID version 6.7: a Sadistic, Intelligent, and Dangerous virtual reality entity which is synthesized from the personalities of more than 150 serial killers, and only one man can stop him.
"
Boat Trip,52.56,Comedy,2002,Cuba Gooding Jr.,"
Two guys whose love lives are a wreck look forward to finding ladies on the high seas. Unfortunately, they've mistakenly been booked on a gay cruise.
"
The Day Naruto Became Hokage,65.0,"Drama,",2016,Junko Takeuchi,"
Depicts the day that Naruto Uzumaki became the 7th Hokage.
"
The Stranger,61.580000000000005,"Thriller, Crime, Drama",2022,Joel Edgerton,"
Two strangers strike up a conversation on a long journey. One is a suspect in an unsolved missing person’s case and the other an undercover operative on his trail. Their uneasy friendship becomes the core of this tightly wrought thriller, which is based on the true story of one of the largest investigations and undercover operations in Australia.
"
The Mummy Resurrection,65.93,Horror,2023,Carl Wharton,"
When an infamous ""cursed"" Egyptian sarcophagus falls into the hands of unscrupulous huckster Everett Randolph, he becomes obsessed with resurrecting the mummified princess held within it.
"
Awake,64.99,"Thriller, Crime, Mystery",2007,Hayden Christensen,"
While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.
"
Battle of the Sexes,67.75999999999999,"Comedy, Drama, History",2017,Emma Stone,"
The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
"
What Planet Are You From?,55.0,"Comedy, Drama, Romance, Science Fiction",2000,Garry Shandling,"
A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care?
"
All My Life,78.57000000000001,"Romance, Drama",2020,Jessica Rothe,"
It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.
"
If Beale Street Could Talk,69.59,"Romance,",2018,KiKi Layne,"
After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.
"
Sleepover,67.0,,2018,Hjalmar Hardestam,"
Emil and Adam are two guys in their 20's. They are close friends, and after a night at the movies, Emil is going to sleep over at Adam's. Emil has unspoken feelings for Adam - feelings that are tested when they are sleeping in the same double bed.
"
Beavis and Butt-Head Do America,66.18,"Animation, Comedy",1996,Mike Judge,"
Slacker duo Beavis and Butt-Head wake to discover their TV has been stolen. Their search for a new one takes them on a clueless adventure across America, during which they manage to accidentally become America's most wanted.
"
Belle's Magical World,62.0,"Animation, Family",1998,Robby Benson,"
Belle, the Beast, Lumiere, Cogsworth and the rest of those zany castle residents use their imaginations to embark on three magical, storybook adventures. This direct-to-video anthology serves as a ""sequel"" to Disney's animated hit film. In ""The Perfect World,"" Belle and the Beast learn about forgiveness. In ""Fifi's Folly,"" Lumiere's girlfriend is jealous of his bond with Belle. And in ""Broken Wing,"" the Beast learns to be kind to an injured bird.
"
"A Fairly Odd Movie: Grow Up, Timmy Turner!",48.78999999999999,"Fantasy, TV",2011,Drake Bell,"
The television movie is set in the city of Dimmsdale and centers on the series' main protagonist Timmy Turner with his fairy godparents Cosmo and Wanda and his fairy godbrother Poof. In the movie, Timmy is now 23 years old but is still in fifth grade with his fairy-obsessed fifth grade teacher Mr. Crocker. Despite being grown up, Timmy finds a loophole in the fairy rulebook Da Rules: if he continues to act like a kid, he will still get to keep his fairies. However, the dilemma rises when Tootie, who was once a dorky girl when she was 10 years old, returns to Dimmsdale as an attractive woman. Timmy falls in love with her, a sign that he is growing up to an adult, which means he is closer to losing his fairies. Meanwhile, an oil business tycoon named Hugh J. Magnate, Jr., who teams up with Mr. Crocker, plans to use Timmy's fairies' magic in order to promote his oil business.
"
Cure,75.0,"Crime, Thriller, Horror, Mystery",1997,Koji Yakusho,"
A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...
"
If These Walls Could Talk 2,67.05,"Romance, Drama",2000,Vanessa Redgrave,"
The stories of three lesbian couples -- who live in the same house at different periods of time -- who are at a crossroads in their lives. In 1961, Edith loses her lover, Abby, to a stroke. Linda and Amy struggle with feminist issues in 1972. And, in 2000, Kal and Fran try to have a baby with the help of sperm donor.
"
Lakeview Terrace,59.44,"Drama, Crime, Thriller",2008,Samuel L. Jackson,"
A young interracial couple has just moved into their California dream home when they become the target of their next-door neighbor, who disapproves of their relationship. A tightly wound LAPD officer has appointed himself the watchdog of the neighborhood. His nightly foot patrols and overly watchful eyes bring comfort to some, but he becomes increasingly aggressive to the newlyweds. These persistent intrusions into their lives cause the couple to fight back.
"
My Big Fat Greek Wedding,64.93,"Comedy, Drama, Romance",2002,Nia Vardalos,"
A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
"
Spider-Man,60.0,"Fiction, Action, Crime, TV Movie",1977,Nicholas Hammond,"
When an extortionist threatens to force a multi-suicide unless a huge ransom is paid, only Peter Parker can stop him with his new powers as Spider-Man.
"
Mandingo,66.44,"Romance, Drama",1975,Perry King,"
Warren Maxwell, the owner of a run-down plantation, pressures his son, Hammond, to marry and produce an heir to inherit the plantation. Hammond settles on his own cousin, Blanche, but purchases a sex slave when he returns from the honeymoon. Meanwhile, Warren buys a new Mandingo slave named Mede to breed and to earn money as a prize-fighter.
"
Lawnmower Man 2: Beyond Cyberspace,29.0,"Science Fiction, Horror, Action, Thriller",1996,Patrick Bergin,"
Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.
"
The Triplets of Belleville,73.59,"Animation, Comedy, Drama",2003,Suzy Falk,"
When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters—an aged song-and-dance team from the days of Fred Astaire—to rescue him.
"
Santa Claus Is Comin' to Town,71.15,"Family, Fantasy, TV",1970,Fred Astaire,"
A postman, S.D. Kluger, decides to answer some of the most common questions about Santa Claus, and tells us about a baby named Kris who is raised by a family of elf toymakers named Kringle. When Kris grows up, he wants to deliver toys to the children of Sombertown. But its Mayor is too mean to let that happen. And to make things worse, the Winter Warlock lives between the Kringles and Sombertown.
"
Brigsby Bear,72.0,"Comedy, Drama",2017,Kyle Mooney,"
Brigsby Bear Adventures is a children's TV show produced for an audience of one: James. When the show abruptly ends, James's life changes forever, and he sets out to finish the story himself.
"
Stagecoach,57.11,"Movie, Western",1986,Willie Nelson,"
Story follows a stagecoach ride through Old West Apache territory. On board are a cavalry man's pregnant wife, a prostitute with a broken heart, a Marshal taking in his prisoner Johnny Ringo, a crooked gambler, and the infamous Doc Holliday
"
Tom and Jerry: The Lost Dragon,57.0,"Family, Animation,",2014,Kelly Stables,"
Tom and Jerry find a dragon egg, and help the baby dragon find its mother.
"
Ms .45,66.41,"Crime, Thriller, Action",1981,Zoë Lund,"
A shy and mute seamstress goes insane after being attacked and raped twice in one day. She wanders the New York streets at night in a sexy black dress with her attacker's gun strapped to her garter belt, blowing away any man who tries to pick her up.
"
The Muppets Take Manhattan,64.85000000000001,"Romance, Comedy, Family",1984,Jim Henson,"
When the Muppets graduate from Danhurst College, they take their song-filled senior revue to New York City, only to learn that it isn't easy to find a producer who's willing to back a show starring a frog and a pig. Of course, Kermit the Frog and Miss Piggy won't take no for an answer, launching a search for someone to take them to Broadway.
"
Christmas Evil,54.24,"Horror, Thriller",1980,Brandon Maggart,"
A toy factory worker, mentally scarred as a child upon learning Santa Claus is not real, suffers a nervous breakdown after being belittled at work, and embarks on a Yuletide killing spree.
"
Fisherman's Friends,67.0,"Comedy, Drama",2019,Daniel Mays,"
Ten fishermen from Cornwall are signed by Universal Records and achieve a top ten hit with their debut album of Sea Shanties. Based on the true-life story of Cornish folk band, Fisherman's Friends.
"
Ghost House,56.98,"Thriller, Mystery",2017,Scout Taylor-Compton,"
A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House.
"
The Vatican Tapes,53.0,"Thriller, Horror",2015,Olivia Taylor Dudley,"
In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.
"
The 33D Invader,55.53,"Comedy, Science Fiction",2011,Akiho Yoshizawa,"
A young woman named Future is sent from the year 2046 to the year 2011 in Hong Kong. Future was sent by the United Nations in order to get pregnant, where she can then extract her genes and repopulate the earth as 99% of males have become infertile in the future due to attacks from Planet Xucker. Two assassins from Xuckler are sent after her to stop her. Future meets three University students: Felix, Dan-san and Sing. The men are obsessed with female students next door: Chin-chin, Chen-chen and Sai-sai. The students agree to help Future find a mate at the university.
"
The Hunted,61.870000000000005,"Drama, Action, Thriller, Crime",2003,Tommy Lee Jones,"
In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. A former Special Operations instructor is approached and asked to apprehend Hallum—his former student—who has 'gone rogue' after suffering severe battle stress from his time in Kosovo.
"
The Garden of the Finzi-Continis,69.0,"Drama, History",1970,Lino Capolicchio,"
In late 1930s Ferrara, Italy, the Finzi-Continis are a leading family: wealthy, aristocratic, and urbane; they are also Jewish. Their adult children, Micol and Alberto, gather a diverse circle of friends for tennis and parties at their villa with its lovely grounds, and try to keep the rest of the world at bay. But tensions between them all grow as anti-Semitism rises in Fascist Italy, and even the Finzi-Continis will have to confront the Holocaust.
"
All About Anna,36.0,"Comedy, Drama, Romance",2005,Gry Bay,"
Anna is a young costume designer, focused on her job and wary of getting caught in romantic relationships. She has just found a new apartment, and is tempted to let her latest boyfriend, Frank, move in with her. Instead, she finds a tenant: The flamboyant, fun-loving Camilla, who shares Anna’s views on love and commitment. For both of them, it’s all about fun.
"
Mr. Turner,65.37,"History, Drama",2014,Timothy Spall,"
Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.
"
Bartok the Magnificent,60.0,"Animation, Comedy, Family, Fantasy, Music",1999,Hank Azaria,"
Albino bat Bartok – former sidekick to the wicked Grigori Rasputin – ventures to prove his true worth on a new quest to defeat the legendary Russian witch Baba Yaga.
"
